岗位名称,公司名称,城市,薪资范围,经验要求,学历要求,技能要求,行业,公司规模,发布日期
数据分析师,字节科技,武汉,7-10K,应届生,本科,Python、Git、Linux、Pandas、数据分析、机器学习、REST API、计算机视觉,广告营销,<50人,2026-07-29
测试开发工程师,网易网络,上海,11-15K,1-3年,大专,Python、Git、Linux、LangChain、NLP、PyTorch,金融科技,50-200人,2026-07-21
机器学习工程师,小米网络,武汉,12-20K,1-3年,大专,Python、Git、Linux、PyTorch、深度学习、REST API、Pandas、计算机视觉,智能制造,50-200人,2026-07-18
Python后端工程师,网易网络,西安,18-28K,10年以上,大专,Python、Git、Linux、MySQL、REST API、TensorFlow、FastAPI、Docker,教育,1000-5000人,2026-05-10
测试开发工程师,美团网络,北京,10-14K,1-3年,硕士,Python、Git、Linux、Spark、高并发、Docker,智能制造,<50人,2026-06-29
深度学习工程师,快手数据,深圳,35-59K,5-10年,大专,Python、Git、Linux、PyTorch、深度学习、高并发、Docker、Flask,广告营销,50-200人,2026-07-23
测试开发工程师,小米,西安,11-17K,3-5年,博士,Python、Git、Linux、LangChain、TensorFlow、Spark,广告营销,5000人以上,2026-05-03
全栈工程师,百度智能,西安,17-26K,5-10年,本科,Python、Git、Linux、高并发、REST API、Flask,金融科技,5000人以上,2026-06-16
数据分析师,拼多多网络,武汉,15-22K,3-5年,硕士,Python、Git、Linux、Pandas、数据分析、Flask、PyTorch、计算机视觉,教育,200-1000人,2026-07-30
AI算法工程师,知乎智能,西安,27-38K,5-10年,本科,Python、Git、Linux、PyTorch、深度学习、NLP、Docker、高并发,金融科技,<50人,2026-07-11
数据分析师,美团网络,深圳,9-15K,应届生,本科,Python、Git、Linux、Pandas、数据分析、NLP、REST API、MongoDB,医疗健康,<50人,2026-07-06
测试开发工程师,阿里科技,杭州,30-49K,10年以上,大专,Python、Git、Linux、MySQL、Pandas、TensorFlow,智能制造,5000人以上,2026-05-08
机器学习工程师,腾讯数据,成都,10-12K,应届生,硕士,Python、Git、Linux、PyTorch、深度学习、FastAPI、MongoDB、Docker,金融科技,50-200人,2026-07-21
NLP工程师,华为智能,南京,7-10K,1-3年,本科,Python、Git、Linux、REST API、数据分析、Redis,智能制造,1000-5000人,2026-05-11
机器学习工程师,携程智能,上海,19-27K,1-3年,本科,Python、Git、Linux、PyTorch、深度学习、AWS、数据分析、NLP,智能制造,200-1000人,2026-06-17
机器学习工程师,小米网络,南京,21-27K,3-5年,本科,Python、Git、Linux、PyTorch、深度学习、AWS、分布式、Pandas,互联网,<50人,2026-05-21
全栈工程师,滴滴,北京,39-50K,10年以上,本科,Python、Git、Linux、深度学习、PyTorch、LangChain,电商零售,<50人,2026-06-22
Python后端工程师,京东信息,武汉,10-13K,3-5年,本科,Python、Git、Linux、MySQL、REST API、机器学习、深度学习、Redis,游戏,5000人以上,2026-06-14
深度学习工程师,百度网络,上海,28-44K,3-5年,博士,Python、Git、Linux、PyTorch、深度学习、Docker、计算机视觉、MySQL,游戏,<50人,2026-05-03
Python后端工程师,贝壳,成都,11-17K,3-5年,博士,Python、Git、Linux、MySQL、REST API、PyTorch、数据分析、TensorFlow,医疗健康,5000人以上,2026-07-01
Python后端工程师,快手智能,成都,19-27K,10年以上,本科,Python、Git、Linux、MySQL、REST API、数据分析、Spark、MongoDB,金融科技,50-200人,2026-05-02
机器学习工程师,京东信息,广州,33-53K,5-10年,本科,Python、Git、Linux、PyTorch、深度学习、高并发、Pandas、机器学习,金融科技,1000-5000人,2026-07-20
NLP工程师,知乎智能,南京,7-11K,1-3年,本科,Python、Git、Linux、Django、REST API、AWS,教育,50-200人,2026-07-05
AI算法工程师,字节,广州,32-48K,5-10年,硕士,Python、Git、Linux、PyTorch、深度学习、FastAPI、NLP、数据分析,互联网,200-1000人,2026-05-06
数据分析师,京东网络,成都,33-43K,10年以上,博士,Python、Git、Linux、Pandas、数据分析、计算机视觉、Docker、MySQL,金融科技,<50人,2026-07-25
深度学习工程师,快手数据,深圳,25-39K,3-5年,大专,Python、Git、Linux、PyTorch、深度学习、NLP、FastAPI、高并发,教育,5000人以上,2026-07-16
NLP工程师,京东数据,广州,25-35K,10年以上,博士,Python、Git、Linux、AWS、TensorFlow、LangChain,电商零售,<50人,2026-05-02
全栈工程师,腾讯网络,杭州,36-44K,10年以上,硕士,Python、Git、Linux、LangChain、计算机视觉、Redis,互联网,200-1000人,2026-05-08
机器学习工程师,快手网络,杭州,37-50K,5-10年,大专,Python、Git、Linux、PyTorch、深度学习、MongoDB、AWS、TensorFlow,互联网,50-200人,2026-05-15
NLP工程师,携程数据,广州,11-19K,3-5年,博士,Python、Git、Linux、计算机视觉、机器学习、FastAPI,医疗健康,<50人,2026-07-10
全栈工程师,华为科技,南京,6-9K,应届生,硕士,Python、Git、Linux、MySQL、NLP、AWS,教育,1000-5000人,2026-06-17
深度学习工程师,快手网络,深圳,35-59K,5-10年,硕士,Python、Git、Linux、PyTorch、深度学习、分布式、高并发、FastAPI,电商零售,200-1000人,2026-05-22
NLP工程师,百度信息,深圳,20-34K,5-10年,本科,Python、Git、Linux、Redis、Flask、深度学习,电商零售,<50人,2026-07-22
测试开发工程师,B站数据,南京,18-24K,5-10年,硕士,Python、Git、Linux、Django、Redis、Docker,电商零售,<50人,2026-05-10
计算机视觉工程师,华为科技,广州,22-32K,10年以上,本科,Python、Git、Linux、Spark、Docker、AWS,广告营销,200-1000人,2026-05-04
数据分析师,京东科技,南京,21-33K,5-10年,博士,Python、Git、Linux、Pandas、数据分析、PyTorch、LangChain、Spark,教育,50-200人,2026-07-06
深度学习工程师,知乎数据,上海,19-30K,1-3年,博士,Python、Git、Linux、PyTorch、深度学习、Spark、Pandas、MySQL,游戏,200-1000人,2026-06-19
机器学习工程师,美团网络,西安,38-47K,10年以上,大专,Python、Git、Linux、PyTorch、深度学习、LangChain、MongoDB、Pandas,互联网,5000人以上,2026-06-02
机器学习工程师,滴滴网络,西安,9-14K,应届生,本科,Python、Git、Linux、PyTorch、深度学习、计算机视觉、AWS、Django,游戏,200-1000人,2026-06-10
计算机视觉工程师,B站数据,北京,26-43K,10年以上,本科,Python、Git、Linux、Flask、MongoDB、REST API,电商零售,1000-5000人,2026-06-03
机器学习工程师,百度网络,成都,30-47K,5-10年,大专,Python、Git、Linux、PyTorch、深度学习、AWS、Redis、机器学习,智能制造,50-200人,2026-05-16
AI算法工程师,拼多多,上海,13-20K,应届生,博士,Python、Git、Linux、PyTorch、深度学习、MongoDB、Django、Pandas,游戏,<50人,2026-05-24
数据分析师,百度科技,成都,32-40K,10年以上,本科,Python、Git、Linux、Pandas、数据分析、机器学习、分布式、AWS,医疗健康,50-200人,2026-07-08
AI算法工程师,网易,深圳,17-26K,1-3年,大专,Python、Git、Linux、PyTorch、深度学习、TensorFlow、REST API、LangChain,教育,5000人以上,2026-06-02
Python数据工程师,字节智能,武汉,19-35K,5-10年,博士,Python、Git、Linux、Pandas、数据分析、LangChain、高并发、Django,互联网,50-200人,2026-05-15
数据分析师,京东,北京,22-33K,3-5年,大专,Python、Git、Linux、Pandas、数据分析、深度学习、MySQL、TensorFlow,金融科技,1000-5000人,2026-05-06
数据分析师,B站数据,深圳,20-27K,3-5年,本科,Python、Git、Linux、Pandas、数据分析、机器学习、深度学习、计算机视觉,游戏,<50人,2026-05-17
机器学习工程师,知乎科技,西安,9-12K,应届生,硕士,Python、Git、Linux、PyTorch、深度学习、MongoDB、Spark、分布式,教育,50-200人,2026-07-15
计算机视觉工程师,知乎数据,北京,7-11K,应届生,大专,Python、Git、Linux、机器学习、数据分析、深度学习,医疗健康,5000人以上,2026-05-03
计算机视觉工程师,知乎网络,成都,7-9K,1-3年,博士,Python、Git、Linux、机器学习、Django、PyTorch,金融科技,<50人,2026-07-07
Python数据工程师,贝壳,上海,14-23K,1-3年,博士,Python、Git、Linux、Pandas、数据分析、Django、PyTorch、分布式,医疗健康,200-1000人,2026-06-18
AI算法工程师,阿里,广州,22-33K,3-5年,硕士,Python、Git、Linux、PyTorch、深度学习、分布式、TensorFlow、Django,教育,200-1000人,2026-05-04
测试开发工程师,京东网络,武汉,16-26K,5-10年,大专,Python、Git、Linux、REST API、深度学习、Pandas,游戏,<50人,2026-07-11
NLP工程师,阿里科技,广州,25-39K,10年以上,硕士,Python、Git、Linux、计算机视觉、MySQL、Docker,医疗健康,<50人,2026-05-18
测试开发工程师,携程科技,南京,21-37K,10年以上,本科,Python、Git、Linux、机器学习、深度学习、TensorFlow,医疗健康,1000-5000人,2026-05-15
AI算法工程师,B站信息,武汉,12-16K,1-3年,硕士,Python、Git、Linux、PyTorch、深度学习、数据分析、MySQL、FastAPI,金融科技,1000-5000人,2026-07-03
NLP工程师,小米信息,北京,22-32K,5-10年,本科,Python、Git、Linux、深度学习、Docker、Redis,电商零售,50-200人,2026-05-30
Python后端工程师,阿里信息,武汉,15-22K,5-10年,大专,Python、Git、Linux、MySQL、REST API、Redis、计算机视觉、Spark,互联网,<50人,2026-07-25
NLP工程师,小米信息,广州,5-8K,应届生,硕士,Python、Git、Linux、深度学习、Pandas、Redis,医疗健康,50-200人,2026-07-05
数据分析师,美团科技,广州,8-12K,应届生,大专,Python、Git、Linux、Pandas、数据分析、Docker、机器学习、FastAPI,电商零售,<50人,2026-05-22
全栈工程师,腾讯科技,成都,25-40K,10年以上,博士,Python、Git、Linux、Redis、NLP、TensorFlow,金融科技,1000-5000人,2026-07-27
机器学习工程师,拼多多信息,深圳,55-82K,10年以上,博士,Python、Git、Linux、PyTorch、深度学习、高并发、Redis、AWS,电商零售,<50人,2026-06-18
Python数据工程师,B站网络,上海,35-43K,5-10年,硕士,Python、Git、Linux、Pandas、数据分析、LangChain、计算机视觉、NLP,电商零售,200-1000人,2026-07-01
测试开发工程师,字节网络,武汉,15-24K,5-10年,大专,Python、Git、Linux、Flask、机器学习、计算机视觉,电商零售,5000人以上,2026-07-16
AI算法工程师,字节信息,南京,9-14K,应届生,硕士,Python、Git、Linux、PyTorch、深度学习、LangChain、分布式、Django,广告营销,1000-5000人,2026-05-23
AI算法工程师,贝壳智能,成都,13-18K,1-3年,博士,Python、Git、Linux、PyTorch、深度学习、Redis、REST API、Docker,广告营销,200-1000人,2026-06-17
NLP工程师,滴滴网络,上海,22-33K,5-10年,本科,Python、Git、Linux、高并发、NLP、深度学习,广告营销,<50人,2026-07-22
AI算法工程师,京东数据,杭州,16-23K,1-3年,大专,Python、Git、Linux、PyTorch、深度学习、分布式、AWS、FastAPI,教育,200-1000人,2026-07-11
全栈工程师,字节智能,广州,22-33K,5-10年,硕士,Python、Git、Linux、Docker、机器学习、TensorFlow,智能制造,5000人以上,2026-07-29
Python后端工程师,美团信息,北京,27-46K,10年以上,硕士,Python、Git、Linux、MySQL、REST API、数据分析、计算机视觉、分布式,游戏,1000-5000人,2026-07-27
机器学习工程师,知乎科技,西安,12-20K,1-3年,本科,Python、Git、Linux、PyTorch、深度学习、数据分析、Spark、Flask,医疗健康,50-200人,2026-07-06
数据分析师,京东数据,北京,10-17K,应届生,大专,Python、Git、Linux、Pandas、数据分析、Docker、MySQL、分布式,游戏,1000-5000人,2026-05-29
计算机视觉工程师,B站智能,南京,21-30K,10年以上,本科,Python、Git、Linux、计算机视觉、FastAPI、Flask,游戏,5000人以上,2026-06-06
Python后端工程师,贝壳智能,武汉,6-11K,1-3年,硕士,Python、Git、Linux、MySQL、REST API、分布式、AWS、NLP,金融科技,5000人以上,2026-05-18
Python数据工程师,B站智能,上海,14-22K,1-3年,硕士,Python、Git、Linux、Pandas、数据分析、FastAPI、REST API、MySQL,医疗健康,5000人以上,2026-07-20
Python后端工程师,知乎网络,成都,22-31K,10年以上,大专,Python、Git、Linux、MySQL、REST API、计算机视觉、Pandas、NLP,医疗健康,200-1000人,2026-05-26
数据分析师,网易,北京,43-59K,10年以上,硕士,Python、Git、Linux、Pandas、数据分析、TensorFlow、机器学习、PyTorch,医疗健康,1000-5000人,2026-05-11
AI算法工程师,网易信息,深圳,53-73K,10年以上,大专,Python、Git、Linux、PyTorch、深度学习、机器学习、TensorFlow、Docker,电商零售,5000人以上,2026-07-14
数据分析师,网易数据,武汉,14-23K,3-5年,本科,Python、Git、Linux、Pandas、数据分析、TensorFlow、深度学习、MySQL,电商零售,5000人以上,2026-06-30
数据分析师,华为数据,武汉,22-29K,5-10年,博士,Python、Git、Linux、Pandas、数据分析、分布式、计算机视觉、TensorFlow,医疗健康,<50人,2026-06-04
Python后端工程师,知乎信息,深圳,21-32K,5-10年,博士,Python、Git、Linux、MySQL、REST API、高并发、LangChain、数据分析,游戏,1000-5000人,2026-05-31
全栈工程师,阿里信息,深圳,34-49K,10年以上,博士,Python、Git、Linux、AWS、TensorFlow、Redis,智能制造,1000-5000人,2026-06-03
计算机视觉工程师,网易,广州,12-17K,3-5年,硕士,Python、Git、Linux、FastAPI、MongoDB、Django,智能制造,50-200人,2026-06-28
测试开发工程师,字节,西安,5-7K,应届生,大专,Python、Git、Linux、Pandas、计算机视觉、FastAPI,医疗健康,200-1000人,2026-06-08
深度学习工程师,腾讯智能,北京,14-17K,应届生,大专,Python、Git、Linux、PyTorch、深度学习、Docker、分布式、Redis,电商零售,1000-5000人,2026-05-07
计算机视觉工程师,网易信息,深圳,7-9K,应届生,本科,Python、Git、Linux、Pandas、LangChain、数据分析,智能制造,200-1000人,2026-06-01
数据分析师,携程网络,上海,24-30K,3-5年,大专,Python、Git、Linux、Pandas、数据分析、LangChain、Flask、AWS,金融科技,1000-5000人,2026-06-18
深度学习工程师,美团科技,南京,13-18K,1-3年,博士,Python、Git、Linux、PyTorch、深度学习、Docker、AWS、机器学习,金融科技,<50人,2026-05-22
AI算法工程师,B站,上海,50-84K,10年以上,硕士,Python、Git、Linux、PyTorch、深度学习、MySQL、Pandas、机器学习,电商零售,200-1000人,2026-05-28
机器学习工程师,知乎网络,北京,58-87K,10年以上,博士,Python、Git、Linux、PyTorch、深度学习、Redis、高并发、LangChain,互联网,1000-5000人,2026-06-09
Python数据工程师,快手数据,上海,42-67K,10年以上,硕士,Python、Git、Linux、Pandas、数据分析、MySQL、计算机视觉、深度学习,金融科技,1000-5000人,2026-06-22
全栈工程师,携程数据,杭州,11-16K,1-3年,大专,Python、Git、Linux、Redis、计算机视觉、Spark,金融科技,1000-5000人,2026-07-06
深度学习工程师,阿里数据,深圳,11-18K,应届生,本科,Python、Git、Linux、PyTorch、深度学习、高并发、计算机视觉、REST API,广告营销,<50人,2026-05-16
Python后端工程师,腾讯网络,成都,4-7K,应届生,硕士,Python、Git、Linux、MySQL、REST API、MongoDB、Spark、Flask,教育,<50人,2026-07-15
Python后端工程师,知乎智能,深圳,19-32K,5-10年,大专,Python、Git、Linux、MySQL、REST API、PyTorch、Django、TensorFlow,医疗健康,<50人,2026-07-25
Python数据工程师,美团,深圳,42-64K,10年以上,大专,Python、Git、Linux、Pandas、数据分析、MySQL、Django、Spark,智能制造,1000-5000人,2026-05-28
测试开发工程师,快手科技,上海,33-46K,10年以上,本科,Python、Git、Linux、Redis、LangChain、Docker,游戏,50-200人,2026-07-25
测试开发工程师,华为智能,西安,7-12K,1-3年,博士,Python、Git、Linux、分布式、高并发、NLP,电商零售,<50人,2026-07-25
Python数据工程师,百度,上海,10-17K,应届生,大专,Python、Git、Linux、Pandas、数据分析、Spark、REST API、Docker,教育,50-200人,2026-05-01
全栈工程师,华为科技,西安,18-27K,5-10年,博士,Python、Git、Linux、Spark、高并发、MySQL,医疗健康,200-1000人,2026-05-13
机器学习工程师,小米,北京,59-84K,10年以上,本科,Python、Git、Linux、PyTorch、深度学习、高并发、MongoDB、LangChain,广告营销,50-200人,2026-05-24
全栈工程师,京东数据,北京,12-16K,1-3年,大专,Python、Git、Linux、TensorFlow、分布式、计算机视觉,医疗健康,50-200人,2026-05-31
机器学习工程师,腾讯,广州,24-31K,3-5年,博士,Python、Git、Linux、PyTorch、深度学习、TensorFlow、REST API、MongoDB,金融科技,<50人,2026-07-24
深度学习工程师,贝壳科技,武汉,39-50K,10年以上,硕士,Python、Git、Linux、PyTorch、深度学习、Docker、NLP、LangChain,金融科技,50-200人,2026-05-05
机器学习工程师,字节网络,杭州,36-60K,5-10年,本科,Python、Git、Linux、PyTorch、深度学习、Flask、FastAPI、AWS,电商零售,1000-5000人,2026-05-17
测试开发工程师,拼多多信息,深圳,22-30K,5-10年,本科,Python、Git、Linux、MongoDB、TensorFlow、LangChain,电商零售,<50人,2026-07-05
Python数据工程师,快手科技,武汉,22-34K,5-10年,本科,Python、Git、Linux、Pandas、数据分析、Flask、高并发、FastAPI,金融科技,1000-5000人,2026-06-23
NLP工程师,B站信息,武汉,7-10K,1-3年,博士,Python、Git、Linux、FastAPI、分布式、深度学习,游戏,5000人以上,2026-07-29
深度学习工程师,贝壳,深圳,57-82K,10年以上,大专,Python、Git、Linux、PyTorch、深度学习、MongoDB、MySQL、Spark,游戏,1000-5000人,2026-07-25
AI算法工程师,字节智能,武汉,27-39K,5-10年,本科,Python、Git、Linux、PyTorch、深度学习、FastAPI、Flask、数据分析,医疗健康,50-200人,2026-07-29
AI算法工程师,百度数据,北京,42-63K,5-10年,硕士,Python、Git、Linux、PyTorch、深度学习、TensorFlow、AWS、高并发,电商零售,1000-5000人,2026-06-02
数据分析师,字节网络,成都,22-29K,5-10年,大专,Python、Git、Linux、Pandas、数据分析、Spark、LangChain、Django,金融科技,5000人以上,2026-05-03
测试开发工程师,腾讯,北京,32-50K,10年以上,硕士,Python、Git、Linux、计算机视觉、分布式、Flask,金融科技,5000人以上,2026-06-11
深度学习工程师,美团数据,深圳,27-41K,3-5年,本科,Python、Git、Linux、PyTorch、深度学习、FastAPI、LangChain、NLP,智能制造,200-1000人,2026-05-30
NLP工程师,字节信息,南京,10-15K,3-5年,大专,Python、Git、Linux、Redis、Spark、REST API,医疗健康,1000-5000人,2026-06-16
计算机视觉工程师,B站,成都,5-7K,应届生,本科,Python、Git、Linux、MySQL、Redis、Flask,医疗健康,<50人,2026-07-20
数据分析师,阿里信息,武汉,11-15K,1-3年,本科,Python、Git、Linux、Pandas、数据分析、Docker、REST API、计算机视觉,游戏,1000-5000人,2026-06-07
Python后端工程师,阿里科技,广州,8-12K,1-3年,大专,Python、Git、Linux、MySQL、REST API、计算机视觉、分布式、AWS,广告营销,1000-5000人,2026-05-25
全栈工程师,网易科技,深圳,17-24K,3-5年,本科,Python、Git、Linux、TensorFlow、Docker、计算机视觉,医疗健康,1000-5000人,2026-05-30
数据分析师,百度科技,深圳,43-65K,10年以上,硕士,Python、Git、Linux、Pandas、数据分析、Docker、Flask、FastAPI,金融科技,<50人,2026-05-01
测试开发工程师,拼多多科技,深圳,23-30K,5-10年,硕士,Python、Git、Linux、深度学习、计算机视觉、Docker,智能制造,1000-5000人,2026-07-04
NLP工程师,美团,深圳,30-44K,10年以上,硕士,Python、Git、Linux、Pandas、深度学习、Docker,互联网,5000人以上,2026-06-09
NLP工程师,滴滴智能,成都,9-16K,3-5年,博士,Python、Git、Linux、Pandas、深度学习、Redis,广告营销,<50人,2026-05-06
数据分析师,阿里网络,西安,7-10K,应届生,硕士,Python、Git、Linux、Pandas、数据分析、MySQL、深度学习、TensorFlow,教育,5000人以上,2026-05-12
NLP工程师,阿里,杭州,14-21K,3-5年,本科,Python、Git、Linux、MySQL、AWS、NLP,教育,1000-5000人,2026-05-23
测试开发工程师,携程科技,西安,5-7K,应届生,硕士,Python、Git、Linux、机器学习、计算机视觉、高并发,医疗健康,1000-5000人,2026-06-06
NLP工程师,贝壳网络,上海,9-15K,1-3年,博士,Python、Git、Linux、数据分析、分布式、Docker,金融科技,50-200人,2026-06-24
深度学习工程师,字节智能,广州,30-48K,5-10年,硕士,Python、Git、Linux、PyTorch、深度学习、机器学习、Spark、Django,广告营销,5000人以上,2026-06-12
数据分析师,滴滴智能,杭州,12-22K,1-3年,博士,Python、Git、Linux、Pandas、数据分析、分布式、机器学习、REST API,广告营销,50-200人,2026-05-29
Python后端工程师,滴滴数据,北京,10-15K,1-3年,硕士,Python、Git、Linux、MySQL、REST API、深度学习、Pandas、Django,广告营销,50-200人,2026-05-10
Python后端工程师,字节智能,上海,15-22K,3-5年,博士,Python、Git、Linux、MySQL、REST API、机器学习、AWS、Docker,智能制造,5000人以上,2026-06-14
计算机视觉工程师,腾讯科技,北京,14-23K,3-5年,本科,Python、Git、Linux、计算机视觉、Flask、TensorFlow,医疗健康,200-1000人,2026-06-20
机器学习工程师,滴滴智能,成都,10-13K,应届生,硕士,Python、Git、Linux、PyTorch、深度学习、Django、Docker、分布式,智能制造,200-1000人,2026-05-10
全栈工程师,拼多多科技,广州,14-21K,3-5年,大专,Python、Git、Linux、Spark、数据分析、深度学习,电商零售,<50人,2026-07-29
深度学习工程师,小米智能,深圳,54-87K,10年以上,本科,Python、Git、Linux、PyTorch、深度学习、高并发、分布式、Docker,游戏,1000-5000人,2026-05-13
AI算法工程师,知乎信息,上海,19-24K,1-3年,大专,Python、Git、Linux、PyTorch、深度学习、AWS、MongoDB、NLP,电商零售,200-1000人,2026-06-21
Python后端工程师,京东数据,上海,9-13K,1-3年,本科,Python、Git、Linux、MySQL、REST API、Redis、Pandas、Docker,金融科技,<50人,2026-07-01
Python数据工程师,美团,南京,7-9K,应届生,本科,Python、Git、Linux、Pandas、数据分析、Redis、LangChain、TensorFlow,金融科技,200-1000人,2026-05-07
Python后端工程师,小米科技,上海,7-9K,应届生,本科,Python、Git、Linux、MySQL、REST API、机器学习、NLP、高并发,电商零售,5000人以上,2026-05-06
计算机视觉工程师,美团智能,杭州,27-42K,10年以上,大专,Python、Git、Linux、机器学习、Flask、REST API,互联网,<50人,2026-07-29
深度学习工程师,百度网络,西安,29-36K,5-10年,硕士,Python、Git、Linux、PyTorch、深度学习、数据分析、Pandas、Spark,教育,5000人以上,2026-05-05
深度学习工程师,美团网络,南京,9-13K,应届生,硕士,Python、Git、Linux、PyTorch、深度学习、数据分析、计算机视觉、MySQL,金融科技,200-1000人,2026-07-16
Python数据工程师,B站智能,上海,33-52K,5-10年,硕士,Python、Git、Linux、Pandas、数据分析、FastAPI、高并发、Spark,医疗健康,1000-5000人,2026-06-21
